#SampleID	Location	Date_Taken	Sample_Type	Soil_Test_Number	PlantA_Or_B	Notes	GA_Microbiome	Living_Mulch	Endophyte	R1_Fastq_Name	R2_Fastq_Name	reads	Growing_Degree_Days	GPSlatitude	GPSlongitude	Living_Mulch_Treatment	quant_reading	Sample_or_Control	precipIntensity	precipProbability	temperatureHigh	temperatureLow	dewPoint	humidity	windSpeed	uvIndex	Sampling_Number	Lime_Buffer_Capacity	pH	Water_pH	Base_Saturation_perc	Cation_Exchange_Capacity	Ca_ppm	Cd_ppm	Cr_ppm	Cu_ppm	Fe_ppm	K_ppm	Mg_ppm	Mn_ppm	Mo_ppm	Na_ppm	Ni_ppm	P_ppm	Pb_ppm	Zn_ppm	Organic_Matter_perc	N_perc	Sampling_NumberGDD	Plate	Row	Column	Well	Concentration
GA1810Za1400	Midville	2018-06-07	Rhizosphere	NA	a	NA	TRUE	FALSE	FALSE	GA18-10Za-1400_S157_L001_R1_001.fastq.gz	GA18-10Za-1400_S157_L001_R2_001.fastq.gz	27515	1400	32.87781	-82.21691	NA	102.9	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	101400	5	F	2	F2	102.9
GA1810Za600	Midville	2018-05-07	Rhizosphere	NA	a	_maybe_replace_SWVT	TRUE	FALSE	FALSE	GA18-10Za-600_S83_L001_R1_001.fastq.gz	GA18-10Za-600_S83_L001_R2_001.fastq.gz	74758	600	32.87781	-82.21692	NA	203.988167	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	172	5.84	6.44	84.3	3.15	348	0.06	0.07	0.28	12.77	163.2	56.1	5.1	0.02	7.65	1.15	26.45	0.58	2.81	0.98	0.07	10600	4	G	11	G11	203.9881666667
GA1810Zb1400	Midville	2018-06-07	Rhizosphere	NA	b	NA	TRUE	FALSE	FALSE	GA18-10Zb-1400_S53_L001_R1_001.fastq.gz	GA18-10Zb-1400_S53_L001_R2_001.fastq.gz	75568	1400	32.87781	-82.21691	NA	270.666667	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	101400	4	E	5	E5	270.6666666667
GA1810Zb600	Midville	2018-05-07	Rhizosphere	NA	b	_maybe_replace_SWVT	TRUE	FALSE	FALSE	GA18-10Zb-600_S78_L001_R1_001.fastq.gz	GA18-10Zb-600_S78_L001_R2_001.fastq.gz	83935	600	32.87781	-82.21692	NA	372.666667	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	172	5.84	6.44	84.3	3.15	348	0.06	0.07	0.28	12.77	163.2	56.1	5.1	0.02	7.65	1.15	26.45	0.58	2.81	0.98	0.07	10600	4	G	6	G6	372.6666666667
GA1811I1400	Fort_Valley	2018-06-07	Inrow_Soil	76	NA	NA	TRUE	FALSE	FALSE	GA1811I1400_S190_L001_R1_001.fastq.gz	GA1811I1400_S190_L001_R2_001.fastq.gz	165379	1400	32.50154	-83.94552	NA	90.933333	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	111400	2	H	10	H10	90.9333333333
GA1811Ka1400	Fort_Valley	2018-06-07	Stalk	NA	a	NA	TRUE	FALSE	FALSE	GA1811Ka1400_S76_L001_R1_001.fastq.gz	GA1811Ka1400_S76_L001_R2_001.fastq.gz	15781	1400	32.50154	-83.94552	NA	98.433333	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	111400	1	G	4	G4	98.4333333333
GA1811Ka600	Fort_Valley	2018-05-07	Stalk	NA	a	NA	TRUE	FALSE	FALSE	GA1811Ka600_S19_L001_R1_001.fastq.gz	GA1811Ka600_S19_L001_R2_001.fastq.gz	22183	600	32.50154	-83.9455	NA	60.133333	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	11600	1	B	7	B7	60.1333333333
GA1811Kb1400	Fort_Valley	2018-06-07	Stalk	NA	b	NA	TRUE	FALSE	FALSE	GA1811Kb1400_S41_L001_R1_001.fastq.gz	GA1811Kb1400_S41_L001_R2_001.fastq.gz	13546	1400	32.50154	-83.94552	NA	61.6	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	111400	1	D	5	D5	61.6
GA1811Kb600	Fort_Valley	2018-05-07	Stalk	NA	b	NA	TRUE	FALSE	FALSE	GA1811Kb600_S90_L001_R1_001.fastq.gz	GA1811Kb600_S90_L001_R2_001.fastq.gz	30008	600	32.50154	-83.9455	NA	60.6	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	11600	1	H	6	H6	60.6
GA1811Ra1400	Fort_Valley	2018-06-07	Root	NA	a	NA	TRUE	FALSE	FALSE	GA18-11Ra-1400_S196_L001_R1_001.fastq.gz	GA18-11Ra-1400_S196_L001_R2_001.fastq.gz	6	1400	32.50154	-83.94552	NA	28.871307	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	111400	6	A	5	A5	28.8713066667
GA1811Ra600	Fort_Valley	2018-05-07	Root	NA	a	NA	TRUE	FALSE	FALSE	GA18-11Ra-600_S240_L001_R1_001.fastq.gz	GA18-11Ra-600_S240_L001_R2_001.fastq.gz	20767	600	32.50154	-83.9455	NA	114	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	11600	6	E	1	E1	114
GA1811Rb1400	Fort_Valley	2018-06-07	Root	NA	b	NA	TRUE	FALSE	FALSE	GA18-11Rb-1400_S267_L001_R1_001.fastq.gz	GA18-11Rb-1400_S267_L001_R2_001.fastq.gz	23901	1400	32.50154	-83.94552	NA	95.2	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	111400	6	H	4	H4	95.2
GA1811Rb600	Fort_Valley	2018-05-07	Root	NA	b	NA	TRUE	FALSE	FALSE	GA18-11Rb-600_S216_L001_R1_001.fastq.gz	GA18-11Rb-600_S216_L001_R2_001.fastq.gz	18783	600	32.50154	-83.9455	NA	48.966667	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	11600	6	C	1	C1	48.9666666667
GA1811S1400	Fort_Valley	2018-06-07	Soil	84	NA	NA	TRUE	FALSE	FALSE	GA18-11S-1400_S118_L001_R1_001.fastq.gz	GA18-11S-1400_S118_L001_R2_001.fastq.gz	37642	1400	32.50154	-83.94552	NA	115.333333	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	111400	5	B	10	B10	115.3333333333
GA1811S600	Fort_Valley	2018-05-07	Soil	18	NA	NA	TRUE	FALSE	FALSE	GA1811S600_S175_L001_R1_001.fastq.gz	GA1811S600_S175_L001_R2_001.fastq.gz	133782	600	32.50154	-83.9455	NA	126	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	11600	2	G	7	G7	126
GA1811Za1400	Fort_Valley	2018-06-07	Rhizosphere	NA	a	NA	TRUE	FALSE	FALSE	GA18-11Za-1400_S68_L001_R1_001.fastq.gz	GA18-11Za-1400_S68_L001_R2_001.fastq.gz	90312	1400	32.50154	-83.94552	NA	229	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	111400	4	F	8	F8	229
GA1811Za600	Fort_Valley	2018-05-07	Rhizosphere	NA	a	NA	TRUE	FALSE	FALSE	GA18-11Za-600_S28_L001_R1_001.fastq.gz	GA18-11Za-600_S28_L001_R2_001.fastq.gz	110702	600	32.50154	-83.9455	NA	323	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	11600	4	C	4	C4	323
GA1811Zb1400	Fort_Valley	2018-06-07	Rhizosphere	NA	b	NA	TRUE	FALSE	FALSE	GA18-11Zb-1400_S8_L001_R1_001.fastq.gz	GA18-11Zb-1400_S8_L001_R2_001.fastq.gz	252828	1400	32.50154	-83.94552	NA	90.7	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	111400	4	A	8	A8	90.7
GA1811Zb600	Fort_Valley	2018-05-07	Rhizosphere	NA	b	NA	TRUE	FALSE	FALSE	GA18-11Zb-600_S29_L001_R1_001.fastq.gz	GA18-11Zb-600_S29_L001_R2_001.fastq.gz	60626	600	32.50154	-83.9455	NA	509	Sample	0.003677049	0.3003279	79.52705	59.88246	58.00426	0.7219672	5.210656	8.114754	11	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	11600	4	C	5	C5	509
GA1812Ka1400	Plains_Production_corn	2018-06-07	Stalk	NA	a	NA	TRUE	FALSE	FALSE	GA1812Ka1400_S40_L001_R1_001.fastq.gz	GA1812Ka1400_S40_L001_R2_001.fastq.gz	8922	1400	32.03577	-84.37585	NA	159.333333	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195082	4.946393	8.229508	12	334	5.2	5.8	63.6	6.39	490	0.05	0.07	0.46	15.4	171.2	134.5	82.4	0.025	11.74	0.025	80.1	0.82	3.45	2.57	0.06	121400	1	D	4	D4	159.3333333333
GA1812Ka600	Plains_Production_corn	2018-05-07	Stalk	NA	a	NA	TRUE	FALSE	FALSE	GA1812Ka600_S54_L001_R1_001.fastq.gz	GA1812Ka600_S54_L001_R2_001.fastq.gz	18826	600	32.03573	-84.37585	NA	50.7	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195082	4.946393	8.229508	12	280	5.94	6.54	85.9	5.31	558	0.02	0.09	0.35	10.2	105.6	175.8	14.5	0.02	9.59	2.45	48.26	0.29	2.64	2.48	0.09	12600	1	E	6	E6	50.7
GA1812Kb1400	Plains_Production_corn	2018-06-07	Stalk	NA	b	NA	TRUE	FALSE	FALSE	GA1812Kb1400_S5_L001_R1_001.fastq.gz	GA1812Kb1400_S5_L001_R2_001.fastq.gz	15338	1400	32.03577	-84.37585	NA	65.733333	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195082	4.946393	8.229508	12	334	5.2	5.8	63.6	6.39	490	0.05	0.07	0.46	15.4	171.2	134.5	82.4	0.025	11.74	0.025	80.1	0.82	3.45	2.57	0.06	121400	1	A	5	A5	65.7333333333
GA1812Kb600	Plains_Production_corn	2018-05-07	Stalk	NA	b	NA	TRUE	FALSE	FALSE	GA1812Kb600_S77_L001_R1_001.fastq.gz	GA1812Kb600_S77_L001_R2_001.fastq.gz	19271	600	32.03573	-84.37585	NA	37.033333	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195082	4.946393	8.229508	12	280	5.94	6.54	85.9	5.31	558	0.02	0.09	0.35	10.2	105.6	175.8	14.5	0.02	9.59	2.45	48.26	0.29	2.64	2.48	0.09	12600	1	G	5	G5	37.0333333333
GA1812Ra1400	Plains_Production_corn	2018-06-07	Root	NA	a	NA	TRUE	FALSE	FALSE	GA18-12Ra-1400_S225_L001_R1_001.fastq.gz	GA18-12Ra-1400_S225_L001_R2_001.fastq.gz	17404	1400	32.03577	-84.37585	NA	121	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195082	4.946393	8.229508	12	334	5.2	5.8	63.6	6.39	490	0.05	0.07	0.46	15.4	171.2	134.5	82.4	0.025	11.74	0.025	80.1	0.82	3.45	2.57	0.06	121400	6	C	10	C10	121
GA1812Ra600	Plains_Production_corn	2018-05-07	Root	NA	a	NA	TRUE	FALSE	FALSE	GA18-12Ra-600_S192_L001_R1_001.fastq.gz	GA18-12Ra-600_S192_L001_R2_001.fastq.gz	10	600	32.03573	-84.37585	NA	36.933333	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195082	4.946393	8.229508	12	280	5.94	6.54	85.9	5.31	558	0.02	0.09	0.35	10.2	105.6	175.8	14.5	0.02	9.59	2.45	48.26	0.29	2.64	2.48	0.09	12600	6	A	1	A1	36.9333333333
GA1812S1400	Plains_Production_corn	2018-06-07	Soil	85	NA	NA	TRUE	FALSE	FALSE	GA1812S1400_S162_L001_R1_001.fastq.gz	GA1812S1400_S162_L001_R2_001.fastq.gz	95841	1400	32.03577	-84.37585	NA	71.2	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195082	4.946393	8.229508	12	334	5.2	5.8	63.6	6.39	490	0.05	0.07	0.46	15.4	171.2	134.5	82.4	0.025	11.74	0.025	80.1	0.82	3.45	2.57	0.06	121400	2	F	6	F6	71.2
GA1812S600	Plains_Production_corn	2018-05-07	Soil	19	NA	NA	TRUE	FALSE	FALSE	GA1812S600_S112_L001_R1_001.fastq.gz	GA1812S600_S112_L001_R2_001.fastq.gz	96491	600	32.03573	-84.37585	NA	69.2	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195082	4.946393	8.229508	12	280	5.94	6.54	85.9	5.31	558	0.02	0.09	0.35	10.2	105.6	175.8	14.5	0.02	9.59	2.45	48.26	0.29	2.64	2.48	0.09	12600	2	B	4	B4	69.2
GA1812Za1400	Plains_Production_corn	2018-06-07	Rhizosphere	NA	a	NA	TRUE	FALSE	FALSE	GA18-12Za-1400_S12_L001_R1_001.fastq.gz	GA18-12Za-1400_S12_L001_R2_001.fastq.gz	51259	1400	32.03577	-84.37585	NA	650	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195082	4.946393	8.229508	12	334	5.2	5.8	63.6	6.39	490	0.05	0.07	0.46	15.4	171.2	134.5	82.4	0.025	11.74	0.025	80.1	0.82	3.45	2.57	0.06	121400	4	A	12	A12	650
GA1812Za600	Plains_Production_corn	2018-05-07	Rhizosphere	NA	a	NA	TRUE	FALSE	FALSE	GA18-12Za-600_S4_L001_R1_001.fastq.gz	GA18-12Za-600_S4_L001_R2_001.fastq.gz	76293	600	32.03573	-84.37585	NA	331.333333	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195082	4.946393	8.229508	12	280	5.94	6.54	85.9	5.31	558	0.02	0.09	0.35	10.2	105.6	175.8	14.5	0.02	9.59	2.45	48.26	0.29	2.64	2.48	0.09	12600	4	A	4	A4	331.3333333333
GA1812Zb1400	Plains_Production_corn	2018-06-07	Rhizosphere	NA	b	NA	TRUE	FALSE	FALSE	GA18-12Zb-1400_S180_L001_R1_001.fastq.gz	GA18-12Zb-1400_S180_L001_R2_001.fastq.gz	64746	1400	32.03577	-84.37585	NA	102.033333	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195082	4.946393	8.229508	12	334	5.2	5.8	63.6	6.39	490	0.05	0.07	0.46	15.4	171.2	134.5	82.4	0.025	11.74	0.025	80.1	0.82	3.45	2.57	0.06	121400	5	H	1	H1	102.0333333333
GA1812Zb600	Plains_Production_corn	2018-05-07	Rhizosphere	NA	b	NA	TRUE	FALSE	FALSE	GA18-12Zb-600_S5_L001_R1_001.fastq.gz	GA18-12Zb-600_S5_L001_R2_001.fastq.gz	90549	600	32.03573	-84.37585	NA	332.333333	Sample	0.004391803	0.3129508	80.59115	59.78934	57.9841	0.7195082	4.946393	8.229508	12	280	5.94	6.54	85.9	5.31	558	0.02	0.09	0.35	10.2	105.6	175.8	14.5	0.02	9.59	2.45	48.26	0.29	2.64	2.48	0.09	12600	4	A	5	A5	332.3333333333
GA1813I1400	Tennile	2018-06-07	Inrow_Soil	79	NA	NA	TRUE	FALSE	FALSE	GA1813I1400_S108_L001_R1_001.fastq.gz	GA1813I1400_S108_L001_R2_001.fastq.gz	347297	1400	32.89258	-82.76496	NA	57.966667	Sample	0.003480328	0.3142623	80.08607	58.22377	58.49869	0.7581967	3.129836	7.803279	13	218	6	6.6	90.6	5.23	717	0.02	0.02	0.78	10.61	154.9	84.6	9.1	0.02	12.64	1.74	35.2	1.17	1.75	1.44	0.07	131400	2	A	12	A12	57.9666666667
GA1813I600	Tennile	2018-05-07	Inrow_Soil	29	NA	NA	TRUE	FALSE	FALSE	GA1813I600_S191_L001_R1_001.fastq.gz	GA1813I600_S191_L001_R2_001.fastq.gz	255682	600	32.89256	-82.76508	NA	193	Sample	0.003480328	0.3142623	80.08607	58.22377	58.49869	0.7581967	3.129836	7.803279	13	433	6.56	7.16	100	6.42	1065.5	0.02	0.045	0.935	8.795	135.9	90.8	14.3	0.02	11.21	1.39	51.36	1.015	3.23	1.39	0.04	13600	2	H	11	H11	193
GA1813Ka1400	Tennile	2018-06-07	Stalk	NA	a	NA	TRUE	FALSE	FALSE	GA1813Ka1400_S3_L001_R1_001.fastq.gz	GA1813Ka1400_S3_L001_R2_001.fastq.gz	7810	1400	32.89258	-82.76496	NA	25.666719	Sample	0.003480328	0.3142623	80.08607	58.22377	58.49869	0.7581967	3.129836	7.803279	13	218	6	6.6	90.6	5.23	717	0.02	0.02	0.78	10.61	154.9	84.6	9.1	0.02	12.64	1.74	35.2	1.17	1.75	1.44	0.07	131400	1	A	3	A3	25.666719
GA1813Ka600	Tennile	2018-05-07	Stalk	NA	a	NA	TRUE	FALSE	FALSE	GA1813Ka600_S55_L001_R1_001.fastq.gz	GA1813Ka600_S55_L001_R2_001.fastq.gz	29468	600	32.89256	-82.76508	NA	32.4	Sample	0.003480328	0.3142623	80.08607	58.22377	58.49869	0.7581967	3.129836	7.803279	13	433	6.56	7.16	100	6.42	1065.5	0.02	0.045	0.935	8.795	135.9	90.8	14.3	0.02	11.21	1.39	51.36	1.015	3.23	1.39	0.04	13600	1	E	7	E7	32.4
GA1813Kb1400	Tennile	2018-06-07	Stalk	NA	b	NA	TRUE	FALSE	FALSE	GA1813Kb1400_S29_L001_R1_001.fastq.gz	GA1813Kb1400_S29_L001_R2_001.fastq.gz	12122	1400	32.89258	-82.76496	NA	45.2	Sample	0.003480328	0.3142623	80.08607	58.22377	58.49869	0.7581967	3.129836	7.803279	13	218	6	6.6	90.6	5.23	717	0.02	0.02	0.78	10.61	154.9	84.6	9.1	0.02	12.64	1.74	35.2	1.17	1.75	1.44	0.07	131400	1	C	5	C5	45.2
GA1813Kb600	Tennile	2018-05-07	Stalk	NA	b	NA	TRUE	FALSE	FALSE	GA1813Kb600_S79_L001_R1_001.fastq.gz	GA1813Kb600_S79_L001_R2_001.fastq.gz	19238	600	32.89256	-82.76508	NA	78.333333	Sample	0.003480328	0.3142623	80.08607	58.22377	58.49869	0.7581967	3.129836	7.803279	13	433	6.56	7.16	100	6.42	1065.5	0.02	0.045	0.935	8.795	135.9	90.8	14.3	0.02	11.21	1.39	51.36	1.015	3.23	1.39	0.04	13600	1	G	7	G7	78.3333333333
